Color,StartTime,StartDate,EndTime,EndDate,Duration,MyColor,MyStartTime,MyEndTime
Amber,22:30,17-Jul-17,23:25,17-Jul-17,00 55,Yellow,81000000,84300000
Amber,08:20,18-Jul-17,11:30,18-Jul-17,03 10,Yellow,30000000,41400000
Amber,16:20,18-Jul-17,20:00,18-Jul-17,03 40,Yellow,58800000,72000000
Amber,22:45,18-Jul-17,01:20,19-Jul-17,02 35,Yellow,81900000,91200000
Amber,22:30,23-Jul-17,00:45,24-Jul-17,02 15,Yellow,81000000,89100000
Amber,05:05,3-Aug-17,05:30,3-Aug-17,00 25,Yellow,18300000,19800000
Red,05:30,3-Aug-17,07:05,3-Aug-17,01 35,Red,19800000,25500000
Amber,07:05,3-Aug-17,07:45,3-Aug-17,00 40,Yellow,25500000,27900000
Amber,06:20,4-Aug-17,08:20,4-Aug-17,02 00,Yellow,22800000,30000000
Amber,08:00,23-Aug-17,12:10,23-Aug-17,04 10,Yellow,28800000,43800000
Amber,05:10,27-Aug-17,14:10,27-Aug-17,09 00,Yellow,18600000,51000000
Amber,06:15,28-Aug-17,08:55,28-Aug-17,02 40,Yellow,22500000,32100000
Amber,08:00,23-Sep-17,08:50,23-Sep-17,00 50,Yellow,28800000,31800000
